Product name,Detail page link,Image URL,Model No,SKU,Price
OnePlus - 10T 5G 8GB+128GB - Moonstone Black (Unlocked),https://www.bestbuy.com/site/oneplus-10t-5g-8gb-128gb-moonstone-black-unlocked/6517436.p?skuId=6517436,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6517/6517436_sd.jpg;maxHeight=200;maxWidth=300,CPH2417,6517436,649.99
Apple - Preowned iPhone X with 256GB Memory Cell Phone (Unlocked) - Space Gray,https://www.bestbuy.com/site/apple-preowned-iphone-x-with-256gb-memory-cell-phone-unlocked-space-gray/6394667.p?skuId=6394667,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6394/6394667_sd.jpg;maxHeight=200;maxWidth=300,X 256GB GRAY RB,6394667,329.99
Google - Pixel 7 Pro 512GB (Unlocked) - Obsidian,https://www.bestbuy.com/site/google-pixel-7-pro-512gb-unlocked-obsidian/6519921.p?skuId=6519921,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519921_sd.jpg;maxHeight=200;maxWidth=300,GA03459-US,6519921,"1,099.00"
Motorola - Edge 2022 5G - 256GB (Unlocked) - Mineral Gray,https://www.bestbuy.com/site/motorola-edge-2022-5g-256gb-unlocked-mineral-gray/6514621.p?skuId=6514621,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6514/6514621_sd.jpg;maxHeight=200;maxWidth=300,PAUJ0001US,6514621,499.99
Apple - Pre-Owned iPhone 8 Plus 64GB Phone (Unlocked) - Gold,https://www.bestbuy.com/site/apple-pre-owned-iphone-8-plus-64gb-phone-unlocked-gold/6305062.p?skuId=6305062,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6305/6305062_sd.jpg;maxHeight=200;maxWidth=300,8P 64GB GOLD RB,6305062,229.99
Motorola Edge 256GB (Unlocked) 2021 - Nebula Blue,https://www.bestbuy.com/site/motorola-edge-256gb-unlocked-2021-nebula-blue/6472092.p?skuId=6472092,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6472/6472092_rd.jpg;maxHeight=200;maxWidth=300,PANX0000US,6472092,349.99
Google - Pixel 6 Pro 256GB (Unlocked) - Stormy Black,https://www.bestbuy.com/site/google-pixel-6-pro-256gb-unlocked-stormy-black/6483638.p?skuId=6483638,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483638_sd.jpg;maxHeight=200;maxWidth=300,GA02258-US,6483638,749.00
Google - Pixel 6 256GB (Unlocked) - Sorta Seafoam,https://www.bestbuy.com/site/google-pixel-6-256gb-unlocked-sorta-seafoam/6483645.p?skuId=6483645,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483645_sd.jpg;maxHeight=200;maxWidth=300,GA03910-US,6483645,499.00
Samsung - Galaxy S22 Ultra 512GB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-s22-ultra-512gb-unlocked-phantom-black/6494427.p?skuId=6494427,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6494/6494427_sd.jpg;maxHeight=200;maxWidth=300,SM-S908UZKFXAA,6494427,"1,399.99"
Samsung - Galaxy Z Fold4 1TB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-z-fold4-1tb-unlocked-phantom-black/6512616.p?skuId=6512616,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6512/6512616_sd.jpg;maxHeight=200;maxWidth=300,SM-F936UZKFXAA,6512616,"1,759.99"
Samsung - Galaxy Z Fold4 256GB (Unlocked) - Phantom Black,https://www.bestbuy.com/site/samsung-galaxy-z-fold4-256gb-unlocked-phantom-black/6512622.p?skuId=6512622,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6512/6512622_sd.jpg;maxHeight=200;maxWidth=300,SM-F936UZKAXAA,6512622,"1,399.99"
Motorola - Moto G Stylus (2021) 128GB Memory (Unlocked) - Aurora Black,https://www.bestbuy.com/site/motorola-moto-g-stylus-2021-128gb-memory-unlocked-aurora-black/6441177.p?skuId=6441177,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441177_sd.jpg;maxHeight=200;maxWidth=300,PAL80002US,6441177,179.99
Motorola - Moto G Play (2021) 32GB Memory (Unlocked) - Misty Blue,https://www.bestbuy.com/site/motorola-moto-g-play-2021-32gb-memory-unlocked-misty-blue/6441176.p?skuId=6441176,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441176_rd.jpg;maxHeight=200;maxWidth=300,PAL60003US,6441176,149.99
